id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,atl_change_percentage
peaq-2,peaq,peaq,0.50084,329259428,266,2117040548.0,30664805.0,0.524903,0.495028,-0.00797961368085598,-1.56826,-4099316.62017262,-1.2297,656824881.2019689,4223189335.309597,,-33.11224,401.24131
ethereum-pow-iou,ethw,EthereumPoW,3.04,328817736,267,328817736.0,8433091.0,3.12,2.93,-0.0242989187649143,-0.79268,-1485247.6385288239,-0.44966,107818717.04993,107818717.04993,,-94.78489,161.12788
neiro-3,neiro,Neiro,0.00077846,328528406,268,328528406.0,140953635.0,0.00082325,0.00076312,-2.3918617830304e-05,-2.98095,-12595890.006656706,-3.69246,420690000000.0,420690000000.0,420690000000.0,-74.14424,31897.1845
osmosis,osmo,Osmosis,0.464287,327475340,269,463956760.0,10065423.0,0.476765,0.45464,-0.009119826051408432,-1.92642,-7550767.002799094,-2.25378,704192494.919797,997677774.394411,1000000000.0,-95.873,106.77119
olympus,ohm,Olympus,20.34,327025077,270,438542863.0,682384.0,20.81,19.41,0.666196,3.38676,10959224.0,3.46739,16054901.39885907,21529732.49967497,21529732.49967497,-98.55232,171.59951
compound-wrapped-btc,cwbtc,cWBTC,1884.33,326805075,271,326805075.0,0.0,1910.67,1832.73,-5.653782414635998,-0.29914,-2145141.3849779367,-0.65212,173432.64945103,173432.64945103,,-13.36964,1964.96354
swissborg,borg,SwissBorg,0.327446,322571175,272,322571175.0,1539116.0,0.348004,0.316557,-0.009512112191568334,-2.82293,-8727264.533934176,-2.63426,983459858.442,983459858.442,1000000000.0,-79.99875,6424.85732
polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS),93545.0,321060258,273,321060258.0,20060281.0,95021.0,90994.0,-607.7396792519576,-0.64548,-3118012.683710456,-0.96182,3428.54778181,3428.54778181,,-13.06636,87.26403
benqi-liquid-staked-avax,savax,BENQI Liquid Staked AVAX,43.31,319728565,274,319728565.0,5868111.0,44.83,42.14,-0.7516565718388151,-1.70593,-5633662.487519264,-1.7315,7372950.077211617,7372950.077211617,,-58.23409,367.62378
polymesh,polyx,Polymesh,0.281749,317003360,275,317003360.0,9326075.0,0.293362,0.274796,-0.008630028848204907,-2.97198,-9252120.8785007,-2.83585,1122890343.521077,1122890343.521077,,-62.43133,181.71459
ai-rig-complex,arc,AI Rig Complex,0.31275,313902705,276,313902705.0,123640359.0,0.346934,0.26225,0.0090345,2.97466,10367499.0,3.41558,999996635.650678,999996635.650678,999998319.33,-31.57639,929.38492
solayer-staked-sol,ssol,Solayer Staked SOL,195.29,311493073,277,311493073.0,4957493.0,201.79,191.14,-5.973130988867979,-2.96782,7261043.0,2.38668,1593023.466715293,1593023.466715293,,-28.21836,59.24877
drift-protocol,drift,Drift Protocol,1.13,308747998,278,1129213744.0,34659967.0,1.2,1.12,-0.053617929720628954,-4.54372,-14576736.956076384,-4.50839,273418561.74762,1000000000.0,1000000000.0,-56.52467,1032.20024
sats-ordinals,sats,SATS (Ordinals),1.4615e-07,307629598,279,307629598.0,38810822.0,1.51413e-07,1.36067e-07,5.121e-09,3.63145,11182399.0,3.77214,2100000000000000.0,2100000000000000.0,2100000000000000.0,-84.09272,4503.84653
zerebro,zerebro,Zerebro,0.298941,300525745,281,300525745.0,196444234.0,0.339112,0.285978,-0.022861621320035275,-7.10424,-24012190.801817775,-7.39889,999972005.711272,999972005.711272,1000000000.0,-62.02283,5026.29355
manta-network,manta,Manta Network,0.778425,300405078,282,779175761.0,37569424.0,0.806805,0.761299,-0.018912108212007065,-2.37191,-8424408.995768368,-2.72785,385542124.45,1000000000.0,1000000000.0,-80.7531,39.07935
zeus-network,zeus,Zeus Network,0.789644,300206202,280,789642272.0,16020636.0,0.863535,0.746241,-0.02544129831966868,-3.1213,-46988103.16890508,-13.53366,380179155.496298,999997768.864184,1000000000.0,-28.72476,474.04106
would,would,would,0.301082,300113815,283,300113815.0,1924163.0,0.324034,0.266975,-0.017437071503204782,-5.47442,-20886457.47936189,-6.50668,999453343.768728,999453343.768728,999500000.0,-31.89087,21090.96583
threshold-network-token,t,Threshold Network,0.02923972,295482155,284,327171348.0,45864853.0,0.03227228,0.02791968,7.878e-05,0.27015,1967001.0,0.67015,10074547970.90936,11155000000.0,,-87.16029,97.7647
chia,xch,Chia,21.61,295167252,285,692240746.0,15515856.0,22.45,20.43,0.472774,2.23687,6598209.0,2.28653,13659554.97637045,32035059.58136248,,-98.6927,76.62169
harmony,one,Harmony,0.0237627,294393635,287,314743742.0,18935322.0,0.02478454,0.02329483,-0.001021836317183378,-4.12288,-10590662.818683207,-3.47253,12305426115.0007,13156044839.793139,13156044839.793139,-93.70404,1773.73214
bridged-wrapped-ether-starkgate,eth,Bridged Ether (StarkGate),3238.83,294155269,286,294155269.0,6607619.0,3320.24,3160.08,-81.41284029788267,-2.45202,-6875080.866104782,-2.28385,90654.1643950559,90654.1643950559,,-20.87465,224.03213
aevo-exchange,aevo,Aevo,0.32347,292654617,288,324397441.0,69888232.0,0.337141,0.316365,-0.006974465383513817,-2.11063,-5360001.722888231,-1.79857,902148351.9655333,1000000000.0,1000000000.0,-91.36564,19.70058
qubic-network,qubic,Qubic,2.55e-06,292299480,289,328036980.0,7645830.0,2.74e-06,2.42e-06,-6.1693532483e-08,-2.36285,-6820315.8412588835,-2.28013,114370512054972.0,128353828513299.0,200000000000000.0,-79.76728,93.58839
usual,usual,Usual,0.565014,289896588,290,305835623.0,255808418.0,0.702937,0.563193,-0.1294508516504952,-18.64036,-63763754.27034241,-18.02966,511582094.03105795,539709797.2315627,4000000000.0,-64.49478,1.51791
l2-standard-bridged-weth-blast,weth,L2 Standard Bridged WETH (Blast),3243.66,289151268,291,289151268.0,4154633.0,3319.62,3166.66,-74.03109488996733,-2.2314,-6866869.211915135,-2.31975,89010.44961851914,89010.44961851914,,-20.77483,49.87017
ravencoin,rvn,Ravencoin,0.01952239,287374153,293,410493760.0,9851115.0,0.01994348,0.01908399,-0.000362744071381593,-1.8242,-4899379.066925824,-1.6763,14701459064.73328,21000000000.0,21000000000.0,-93.15191,118.66635
mimblewimblecoin,mwc,MimbleWimbleCoin,26.19,287316574,292,287328501.0,3973.38,,,,,,,10971647.9069404,10972103.3569404,20000000.0,-17.57812,8666.07758
sonic-svm,sonic,Sonic SVM,0.787412,285193528,294,1901290189.0,575995498.0,0.954512,0.744391,-0.024936652004402315,-3.0697,-13002410.09710133,-4.36036,360000000.0,2400000000.0,2400000000.0,-34.33033,9.05479
terra-luna-2,luna,Terra,0.409679,282143002,295,442509864.0,28700590.0,0.42333,0.399791,-0.009617414857905238,-2.2937,-7086008.642894864,-2.44996,687660230.0,1078518456.25778,,-97.82174,62.76658
sushi,sushi,Sushi,1.45,280715242,296,407546985.0,107576400.0,1.53,1.41,-0.044021608293425274,-2.94358,-9384595.936857224,-3.23495,192789255.8554817,279894598.7354028,,-93.74765,222.70072
frax-share,fxs,Frax Share,3.19,276916543,297,318756384.0,18449525.0,3.28,3.11,-0.0460496185167778,-1.42176,-4616307.398455083,-1.6397,86597340.67013717,99681495.5911336,99681495.5911336,-92.53257,112.62173
mask-network,mask,Mask Network,2.75,274861516,298,274861516.0,65723159.0,2.84,2.71,-0.09005501134175731,-3.17593,-9495753.864756703,-3.33937,100000000.0,100000000.0,100000000.0,-93.37172,181.31548
insurance-2,insurance,INSURANCE,14.6,273377968,299,1432675981.0,6874.17,14.54,13.97,0.386844,2.72192,7659630.0,2.88261,18700000.0,98000000.0,100000000.0,-5.14419,557.47871
yearn-finance,yfi,yearn.finance,8011.44,269725975,300,294094005.0,18134478.0,8170.61,7773.79,-138.52566549947278,-1.69971,-5535480.781530499,-2.01099,33627.929960228954,36666.0,36666.0,-91.15006,25289.63549
dymension,dym,Dymension,1.2,266667882,301,1200341796.0,10801472.0,1.24,1.15,-0.018045060264684887,-1.48283,-4099772.5833594203,-1.51413,222159957.0,1000000000.0,,-85.88746,23.33575
illuvium,ilv,Illuvium,36.47,265528133,302,351268545.0,29630668.0,37.85,35.79,-0.9493753522204216,-2.53724,-7321805.385253012,-2.68346,7255810.634250065,9598749.546793103,,-98.08826,25.01937
xyo-network,xyo,XYO Network,0.01900542,265163218,303,265163218.0,3216979.0,0.01976691,0.01837734,-0.000378249070918869,-1.95138,-4834190.594890267,-1.79046,13931216938.01129,13931216938.01129,13931216938.01129,-76.62886,19566.65422
act-i-the-ai-prophecy,act,Act I The AI Prophecy,0.272803,260533194,304,260533194.0,196074905.0,0.300722,0.268977,-0.022184137788057775,-7.52038,-23019391.74790722,-8.11821,948246388.414515,948246388.414515,1000000000.0,-69.94628,2094.08773
coinex-token,cet,CoinEx,0.093281,255421731,305,255421731.0,178714.0,0.094099,0.091978,0.00029176,0.31375,1570143.0,0.61853,2734608352.27,2734608352.27,10000000000.0,-37.88024,2173.25085
biconomy,bico,Biconomy,0.272743,251506694,306,273425505.0,9624676.0,0.281707,0.264587,-0.006362043058146971,-2.27944,-5535184.898351848,-2.15342,919836263.221034,1000000000.0,1000000000.0,-98.72522,61.73066
mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle),1.001,249476427,307,249476427.0,8463569.0,1.009,0.981609,0.00365785,0.36692,764644.0,0.30744,249045691.903231,249045691.903231,,-21.12898,14.68923
pha,pha,PHALA,0.321472,248671887,308,321255251.0,79107058.0,0.338246,0.293035,0.01190307,3.84505,8117632.0,3.37455,774063258.2764837,1000000000.0,1000000000.0,-76.76762,400.17687
wrapped-avax,wavax,Wrapped AVAX,36.45,248136364,309,248136364.0,107324277.0,37.82,35.64,-0.7284647031539819,-1.9595,-2374568.1732738316,-0.94789,6797671.405956076,6797671.405956076,,-98.17473,361.82148
kadena,kda,Kadena,0.817496,247384428,310,819523685.0,14398889.0,0.852899,0.797693,-0.02470214626951439,-2.93306,-7647304.546763778,-2.99857,301863670.4464,1000000000.0,1000000000.0,-97.04084,1142.61923
elixir-deusd,deusd,Elixir deUSD,0.998933,246630055,311,246630055.0,843119.0,1.006,0.991043,-0.000170399049821635,-0.01706,476612.0,0.19362,246329018.79,246329018.79,,-2.92475,1.52413
gmx,gmx,GMX,24.72,246282765,312,246282765.0,21515244.0,24.97,23.12,0.292953,1.19944,2798163.0,1.14922,9919005.30185468,9919005.30185468,13250000.0,-72.85125,114.36679
tribe-2,tribe,Tribe,0.539064,245265398,313,539026432.0,19203.64,0.63154,0.48727,-0.043264312912536074,-7.42954,-19861817.30178389,-7.49143,455015530.80485964,1000000000.0,1000000000.0,-77.98167,274.27364
nosana,nos,Nosana,2.91,244155635,314,292752560.0,3144459.0,3.07,2.81,-0.07401558245755302,-2.47774,-3748106.933156252,-1.51192,83400000.0,100000000.0,,-62.55468,27922.07249
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3430.66,243382484,315,243382484.0,12061487.0,3510.4,3357.45,-66.46973301164189,-1.90069,-6373004.994754106,-2.5517,70938.0,70938.0,,-20.64739,120.85231
project-galaxy,gal,Galxe,1.89,242275090,316,379297626.0,442332.0,1.94,1.78,-0.024978808907369254,-1.30185,-2909073.4379039705,-1.18649,127749331.18734433,200000000.0,200000000.0,-89.65235,111.14713
meow,meow,MEOW,0.00267065,241324018,317,241324018.0,793619.0,0.00274668,0.00244071,0.00012033,4.71805,11794823.0,5.1387,89999925295.53348,89999925295.53348,90000000000.0,-2.4325,78716.20817
altlayer,alt,AltLayer,0.10292,238422148,318,1031944375.0,22309268.0,0.108077,0.100286,-0.002944808556417031,-2.78167,-6942569.165899336,-2.82949,2310416665.0,10000000000.0,10000000000.0,-84.73076,51.80331
instadapp,fluid,Fluid,6.01,238108074,319,603771235.0,1598352.0,6.23,5.61,0.160709,2.74526,7308070.0,3.16641,39436803.20056228,100000000.0,100000000.0,-75.27704,1545.8331
humans-ai,heart,Humans.ai,0.03652236,237434975,320,285957354.0,744431.0,0.03769444,0.03554948,0.00097287,2.73667,7214854.0,3.13389,6476465029.94,7800000000.0,7800000000.0,-86.89473,884.94674
nxm,nxm,Nexus Mutual,73.61,237120684,321,237120684.0,0.0,75.13,71.42,-0.9119007212062655,-1.22366,-4990971.087201744,-2.06143,3229387.200575255,3229387.200575255,3229387.200575255,-60.50173,954.96676
metars-genesis,mrs,Metars Genesis,2.81,237017838,322,2813758951.0,95658.0,2.86,2.74,-0.009024483674688444,-0.31998,-560182.4292969704,-0.23579,84235303.0,1000000000.0,,-76.60614,380.49175
nem,xem,NEM,0.02624485,236530770,323,236530770.0,26035143.0,0.0277268,0.02593069,-0.00109222242879143,-3.99539,-8088898.130669683,-3.30672,8999999999.0,8999999999.0,,-98.59358,30883.80385
decred,dcr,Decred,14.14,234634828,324,297605991.0,2793052.0,14.47,13.84,-0.2850781854207938,-1.97634,-4301338.847062737,-1.8002,16556559.8053408,21000000.0,21000000.0,-94.27182,3183.29448
dogs-2,dogs,Dogs,0.00045128,234172100,325,249239778.0,42574794.0,0.00046687,0.00043081,1.76e-06,0.39199,1382270.0,0.59378,516750000000.0,550000000000.0,550000000000.0,-72.23547,5.50013
metis-token,metis,Metis,37.61,232802626,326,377048946.0,11692158.0,39.33,36.6,-1.2635641910281592,-3.25057,-7640785.507860333,-3.17779,6174334.342,10000000.0,10000000.0,-88.34087,992.92366
usda-2,usda,USDa,1.0,232082746,327,232082746.0,873363.0,1.005,0.996052,-0.000840045461893535,-0.08393,109527.0,0.04722,231720800.7662571,231720800.7662571,,-1.3748,35.6751
zano,zano,Zano,15.84,231351320,328,231351320.0,1021820.0,17.09,14.71,-1.1762688558358683,-6.9142,-16830306.458505303,-6.78145,14589923.85,14589923.85,,-11.03102,10719.39605
wrapped-ether-mantle-bridge,weth,Wrapped Ether (Mantle Bridge),3242.22,231125217,329,231125217.0,23990806.0,3331.71,3160.46,-66.42049015658085,-2.00748,-4509829.087623149,-1.9139,71194.80622807541,71194.80622807541,,-29.57701,112.77355
bazaars,bzr,Bazaars,20.11,230963008,330,11184434499.0,713601.0,20.59,19.6,-0.36873469266452474,-1.80097,-4527743.359799951,-1.92268,11472442.53964689,555555555.0,555555555.0,-22.5008,3253.90022
clearpool,cpool,Clearpool,0.314636,230314164,331,315517566.0,10268097.0,0.341306,0.306232,-0.005411714973183934,-1.69091,-3206375.14624846,-1.37306,729956710.7431598,1000000000.0,1000000000.0,-87.5986,1877.87938
ava-ai,ava,Ava AI,0.229615,230079197,335,230079197.0,151255904.0,0.259401,0.171105,0.0349353,17.94498,35952774.0,18.52029,999993384.555696,999993384.555696,1000000000.0,-12.64389,1892.4257
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,0.255803,229722664,332,229722664.0,1566265.0,0.27758,0.248349,-0.02177741192932231,-7.84545,-18235869.506494522,-7.3544,891250000.0,891250000.0,1000000000.0,-48.55883,92452.97698
g-token,g,Gravity,0.031714,229683788,333,381075595.0,24601225.0,0.03246163,0.03082139,-0.000567084876312893,-1.75671,-4229748.995719224,-1.80825,7232700000.0,12000000000.0,12000000000.0,-65.50029,27.3788
loopring,lrc,Loopring,0.183898,229651955,334,253222209.0,14840710.0,0.190236,0.179607,-0.004394744948998996,-2.33399,-4708963.983614892,-2.00928,1245991468.94246,1373873397.442457,1374513896.0,-95.08606,838.26287
ontology,ont,Ontology,0.247352,226536128,336,248204952.0,14458825.0,0.254358,0.242516,-0.007006536898072846,-2.75459,-5593436.124814749,-2.40962,912697857.0,1000000000.0,,-97.73253,90.33179
pippin,pippin,pippin,0.226314,225846184,337,225846184.0,147136322.0,0.258503,0.101439,0.114932,103.18739,124571608.0,123.00383,999949941.877134,999949941.877134,1000000000.0,-13.05627,3952.58164
quorium,qgold,Quorium,2676.57,225498888,338,225498888.0,155105.0,2685.23,2597.88,17.41,0.65458,1977875.0,0.88487,84000.0,84000.0,,-25.11718,128.53662
amnis-aptos,amapt,Amnis Aptos,8.92,225353431,339,225401170.0,2380318.0,9.18,8.46,0.113101,1.28387,2530813.0,1.1358,25203628.7157081,25208967.9349,,-52.05807,110.26162
sun-token,sun,Sun Token,0.02295444,224816861,340,456838609.0,50737563.0,0.02380335,0.02249631,-0.000777489741942028,-3.27613,-7847609.647157788,-3.37293,9793435933.502426,19900730000.0,,-99.96555,395.07761
skale,skl,SKALE,0.04326095,224633890,341,244477444.0,23720510.0,0.04506771,0.04284331,-0.001354957420642192,-3.03694,-6829200.763258696,-2.95045,5179144337.0,5636656037.195423,7000000000.0,-96.4195,123.5037
corgiai,corgiai,CorgiAI,0.00065251,224254755,342,243166245.0,77440.0,0.00068129,0.00063175,-7.721144375777e-06,-1.16946,-1591557.4453798234,-0.70471,343529984355.9779,372500000000.0,500000000000.0,-84.69367,1366.80674
velo,velo,Velo,0.02965933,220833795,343,717138416.0,65058507.0,0.03192389,0.02853774,-0.00142898986709129,-4.59655,-9595577.818079114,-4.16422,7390475595.0,23999922441.43743,,-98.68899,2808.84656
lcx,lcx,LCX,0.234211,219806474,344,222807450.0,2632627.0,0.247631,0.230752,-0.0134208020219371,-5.41967,-9670562.06438616,-4.21417,937204527.0,950000000.0,950000000.0,-58.53453,329956.45279
zelcash,flux,Flux,0.579244,219277723,345,255359948.0,9798973.0,0.603918,0.551311,0.0083547,1.46346,2524993.0,1.16492,377828234.4991484,440000000.0,440000000.0,-82.56855,3434.22857
rocket-pool,rpl,Rocket Pool,10.43,219226033,346,219226033.0,7648901.0,10.8,10.12,-0.2976757518142339,-2.77571,-5843613.320774257,-2.59636,20988203.06919029,20988203.06919029,,-83.12598,117956.48574
hivemapper,honey,Hivemapper,0.069915,218461230,347,448712046.0,1469142.0,0.073207,0.069576,-0.00148781935527377,-2.0837,-3856164.1935790777,-1.73453,3116133544.808387,6400433893.437754,10000000000.0,-81.41802,722.97654
hive,hive,Hive,0.470116,218230847,348,,41476681.0,0.532699,0.465341,-0.06142305906689416,-11.55569,-23541117.24887514,-9.73691,463615050.677,,,-86.2376,437.16524
uxlink,uxlink,UXLINK,1.28,217728748,349,1280757339.0,212008735.0,1.35,1.26,-0.06862450944155651,-5.09322,-12339920.456706792,-5.36358,170000000.0,1000000000.0,1000000000.0,-65.34935,806.98914
treehouse-eth,teth,Treehouse ETH,3864.74,216948722,350,216948722.0,4669805.0,3948.08,3792.43,-71.77311585332382,-1.82326,1019064.0,0.47194,56066.615726349,56066.615726349,,-20.30326,40.78162
avail,avail,Avail,0.112325,216897368,351,1152790820.0,1832572.0,0.114624,0.110481,-0.001980617345239646,-1.73274,-3451562.9770516157,-1.56641,1928763504.0,10251211800.0,,-53.08566,34.52159
bitcoin-gold,btg,Bitcoin Gold,12.33,216642958,352,216642958.0,11067004.0,13.31,12.08,-0.3361674371976715,-2.6542,-4485224.632397562,-2.02834,17513924.0,17513924.0,21000000.0,-97.2937,190.22358
digibyte,dgb,DigiByte,0.0123809,216627540,353,260412301.0,6009511.0,0.0126829,0.01203,-8.1436206976024e-05,-0.65346,-1233626.4313414097,-0.56624,17469137730.36228,21000000000.0,21000000000.0,-93.03735,39915.29176
blast,blast,Blast,0.00889397,215793232,354,890903567.0,26859547.0,0.00908117,0.00830939,0.00024112,2.78662,6800354.0,3.25387,24221839532.37569,100000000000.0,100000000000.0,-69.42112,24.35116
cow-protocol,cow,CoW Protocol,0.724131,214806628,355,728138955.0,49755100.0,0.783049,0.700491,0.00046847,0.06474,-98978.36964643002,-0.04606,295007740.1132337,1000000000.0,1000000000.0,-67.12922,1729.64636
uma,uma,UMA,2.53,213613251,356,311285772.0,15249168.0,2.63,2.46,-0.07809143593608425,-2.99958,-5909914.630443573,-2.69216,84304631.60277952,122852080.6560679,,-93.88977,736.2811
bonfida,fida,Solana Name Service,0.214408,212829001,358,214780935.0,19699092.0,0.224153,0.210221,-0.006728109004145333,-3.04252,-6589074.834007472,-3.00298,990911979.149277,1000000000.0,1000000000.0,-98.85368,90.17509
swipe,sxp,Solar,0.337554,212594626,357,212878068.0,16842152.0,0.362393,0.336706,-0.02269614688098348,-6.30011,-12659776.157102525,-5.62021,628899388.2455655,629737869.7935889,,-94.12858,110.75459
game-by-virtuals,game,GAME by Virtuals,0.213034,211012257,359,211012257.0,47364597.0,0.233246,0.202597,-0.007544560485007124,-3.42035,-10677836.549128503,-4.81656,1000000000.0,1000000000.0,1000000000.0,-45.48808,8008.73537
moonbeam,glmr,Moonbeam,0.221775,209258719,360,256445980.0,6782650.0,0.228713,0.217863,-0.006093669946479557,-2.6742,-5432027.538349986,-2.53016,941761855.0,1154126545.0,,-98.86301,70.18992
rollbit-coin,rlb,Rollbit Coin,0.091225,209092316,361,209092316.0,1003665.0,0.092963,0.08836,-3.730002287095e-06,-0.00409,-115707.22469848394,-0.05531,2288793500.071107,2288793500.071107,5000000000.0,-65.50306,9652.89378
band-protocol,band,Band Protocol,1.34,207039672,363,208553096.0,7485591.0,1.38,1.3,-0.019052536580664636,-1.4044,-3699900.8314085603,-1.75567,154439944.790888,155568873.722669,,-94.12166,559.04509
vethor-token,vtho,VeThor,0.00242901,206299301,362,206434032.0,2132334.0,0.00254169,0.00241824,-0.000108748713948509,-4.28523,-9592945.83260864,-4.4434,84874291514.0,84929721482.0,,-94.79891,1494.44991
abtc,abtc,aBTC,93255.0,205211586,364,205211586.0,415840.0,105102.0,90981.0,-927.7685267477937,-0.98508,1118213.0,0.54789,2167.0222448517,2167.0222448517,,-13.13735,54.8714
cetus-protocol,cetus,Cetus Protocol,0.319466,204768215,365,320963199.0,54744297.0,0.335738,0.302763,-0.000928059202710607,-0.28966,1903191.0,0.93816,637980351.3574969,1000000000.0,1000000000.0,-34.27988,1097.96806
icon,icx,ICON,0.195017,203257690,366,205921065.0,6802980.0,0.204459,0.193905,-0.008249508737644962,-4.05848,-8263567.235663801,-3.90673,1040974119.888025,1054614462.514062,,-98.51767,84.19886
m2-global-wealth-limited-mmx,mmx,MMX,1.33,201989410,367,664751706.0,138558.0,1.34,1.26,-0.000260169783687703,-0.01959,267620.0,0.13267,151897237.889973,499897237.889973,500000000.0,-62.74508,136.429
casper-network,cspr,Casper Network,0.01572472,201566864,368,208687592.0,16733348.0,0.01634908,0.01440529,0.00074343,4.9624,10424904.0,5.45401,12755008153.0,13205602751.0,,-98.78235,158.28806
gmt-token,gomining,GoMining Token,0.486933,201475538,369,201475538.0,11903253.0,0.494521,0.483764,-0.003474516074860823,-0.7085,-831154.812451303,-0.41084,413045787.808932,413045787.808932,436915240.0,-13.94255,599.36884
apu-s-club,apu,Apu Apustaja,0.00059269,200323694,370,200323694.0,5613284.0,0.0006296,0.00054336,1.179e-05,2.02902,3602108.0,1.83107,337892157627.5295,337892157627.5295,420690000000.0,-59.60227,31434.59476
radix,xrd,Radix,0.01874527,199915212,371,245008335.0,1660553.0,0.01932835,0.01866898,-0.000500862548238345,-2.60241,-5178457.679725379,-2.52492,10640026994.1538,13040004667.51573,24000000000.0,-97.11662,41.32006
compound-ether,ceth,cETH,65.3,199458149,372,199458149.0,1631.92,66.65,63.49,-1.234139104779132,-1.85493,-4511264.207169205,-2.21174,3054553.99168268,3054553.99168268,,-33.30094,3356.45516
pepecoin-2,pepecoin,PepeCoin,1.81,198526295,373,198526295.0,8465596.0,1.89,1.8,-0.05657501208706095,-3.02617,-5951978.90223673,-2.91081,109413265.24592899,109413265.24592899,133769420.0,-75.89593,16533.27909
btse-token,btse,BTSE Token,1.22,198523937,375,244998270.0,1935748.0,1.25,1.19,-0.02066454142993024,-1.66107,-4310484.840307206,-2.12512,162061501.0,200000000.0,200000000.0,-86.73899,230.64206
supra,supra,Supra,0.03029999,198121362,374,2395774641.0,29894245.0,0.0322975,0.02667161,0.00220442,7.84614,14931813.0,8.15102,6532996616.19,79000000000.0,100000000000.0,-58.29415,364.86296
coti,coti,COTI,0.109476,196615189,376,219398759.0,12902458.0,0.11378,0.104928,-0.001282556072656121,-1.15797,-1669401.199510932,-0.84192,1792309031.44,2000000000.0,2000000000.0,-83.59379,1871.76489
constitutiondao,people,ConstitutionDAO,0.03854673,196003588,377,196003588.0,73584388.0,0.03969785,0.0369828,-0.000254416790778339,-0.65569,-719255.0831741989,-0.36562,5066448921.357176,5066448921.357176,5066448921.357176,-79.09248,4107.47775
across-protocol,acx,Across Protocol,0.438651,195240976,378,439774977.0,28084770.0,0.467174,0.431876,-0.015798696641841414,-3.47645,-7098558.672092646,-3.50824,443956536.36420876,1000000000.0,1000000000.0,-73.81299,1185.27677
verge,xvg,Verge,0.0117736,194687376,379,195076808.0,17087904.0,0.01224606,0.01129043,-0.000255744723482524,-2.12601,-5444486.088537872,-2.72045,16521951235.74134,16555000000.0,,-95.49806,527487.50024
moo-deng,moodeng,Moo Deng,0.195125,194439143,380,194439143.0,77806563.0,0.209831,0.191867,-0.005467533045584172,-2.72569,-4723967.776675373,-2.37191,989971791.17,989971791.17,989971791.17,-71.18436,1169.1461
huobi-token,ht,Huobi,1.21,192486044,382,242771919.0,59916.0,1.22,1.16,0.00483371,0.40244,899962.0,0.46974,159406077.0,201050000.0,201050000.0,-96.95674,480.53406
lorenzo-stbtc,stbtc,Lorenzo stBTC,92920.0,192237447,383,192244040.0,3953.05,94324.0,90780.0,-621.0303494284599,-0.66391,-1261087.738855064,-0.65173,2066.880818803395,2066.951705779395,,-13.21624,51.41923
everipedia,iq,IQ,0.00950823,192205174,381,192205174.0,91820938.0,0.01206988,0.00777622,0.00165445,21.06572,33790875.0,21.3307,20186292991.929,20186292991.929,60000000000.0,-86.85139,1409.53629
heyanon,anon,Hey Anon,15.19,190660046,384,319229407.0,42601199.0,15.97,11.15,4.04,36.21452,50929163.0,36.44804,12542268.583316,21000000.0,21000000.0,-4.92795,1546.61185
zentry,zent,Zentry,0.03029852,190430039,385,293175811.0,8048646.0,0.03161232,0.02872031,-0.000232278489784108,-0.7608,-3480742.8138764203,-1.79502,6305100706.772714,9706992814.355925,10000000000.0,-33.84342,156.77889
space-id,id,SPACE ID,0.438248,188685430,386,875092260.0,19347561.0,0.448035,0.424522,-0.004093388633438722,-0.92539,-1565121.196615398,-0.82266,430506132.0,1996617244.0,2000000000.0,-76.16953,155.72657
vanar-chain,vanry,Vanar Chain,0.099628,188350182,387,193867527.0,14017418.0,0.10258,0.094282,7.47e-06,0.0075,-451116.69097691774,-0.23894,1882895351.0,1938051040.0,2400000000.0,-73.22864,111.78698
aleo,aleo,ALEO,0.6336,188233500,388,1038279431.0,11653205.0,0.700036,0.617943,-0.025918358264964025,-3.92989,-8058372.138031572,-4.1053,297186574.209528,1639255009.209528,,-90.53599,2.88831
constellation-labs,dag,Constellation,0.052928,188215732,389,188215868.0,1771942.0,0.057282,0.04964588,0.0009145,1.7582,3127782.0,1.68989,3549997434.97413,3550000000.0,,-88.27518,4707.02934
big-time,bigtime,Big Time,0.125547,187912447,390,630250074.0,19348262.0,0.128813,0.121569,-0.001866136049207184,-1.46464,-1154212.9518319666,-0.61048,1490776872.34565,5000000000.0,5000000000.0,-87.12206,768.02553
hamster-kombat,hmstr,Hamster Kombat,0.00290208,187660109,391,291510849.0,28615045.0,0.00299091,0.00285943,-8.6482197795614e-05,-2.89377,-4661058.353506148,-2.42358,64375000000.0,100000000000.0,100000000000.0,-59.74166,28.46316
delysium,agi,Delysium,0.135567,187379380,392,407715112.0,6748042.0,0.140827,0.13346,-0.004137272845798651,-2.96146,-5627288.832307637,-2.91559,1378752278.904289,3000000000.0,3000000000.0,-79.71515,1007.52092
audius,audio,Audius,0.144106,185965479,393,185965479.0,7389375.0,0.147656,0.140391,-0.00188380773554564,-1.29037,-2369427.57155025,-1.25809,1288469619.0,1288469619.843964,1288469619.843964,-97.08776,229.9145
